epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,577.743,1.34516,4.36753,1.558,0.02418,0.46067,0.02812,0.01848,1.20262,4.17205,1.44146,9.70392e-05,9.70392e-05,9.70392e-05
2,1126.75,1.27721,3.81994,1.48979,0.18757,0.16408,0.06528,0.04158,1.27168,3.78323,1.5609,0.000188603,0.000188603,0.000188603
3,1677.19,1.3393,3.48641,1.52429,0.11821,0.21305,0.10757,0.06815,1.32009,3.42713,1.59045,0.000273699,0.000273699,0.000273699
4,2226.34,1.34565,3.22078,1.53212,0.17682,0.27921,0.1264,0.07761,1.32489,3.22967,1.6222,0.000264894,0.000264894,0.000264894
5,2771.08,1.3248,3.05668,1.51618,0.18142,0.32147,0.176,0.11344,1.30677,3.10903,1.54485,0.000255192,0.000255192,0.000255192
6,3313.87,1.28614,2.89327,1.4821,0.21008,0.38108,0.20622,0.13196,1.28813,2.91801,1.56152,0.00024549,0.00024549,0.00024549
7,3863.01,1.2677,2.78459,1.48137,0.25294,0.33184,0.20994,0.13582,1.29154,2.87986,1.55301,0.000235788,0.000235788,0.000235788
8,4408.16,1.25769,2.71291,1.47111,0.22816,0.36872,0.22275,0.14611,1.28883,2.85852,1.54467,0.000226086,0.000226086,0.000226086
9,4964.55,1.26698,2.63699,1.45866,0.22882,0.36759,0.23165,0.14719,1.2803,2.80464,1.55775,0.000216384,0.000216384,0.000216384
10,5509.99,1.24777,2.57661,1.45418,0.25869,0.39628,0.27023,0.17875,1.24473,2.87572,1.50027,0.000206682,0.000206682,0.000206682
11,6055.19,1.21886,2.51815,1.4226,0.28214,0.36478,0.27997,0.18688,1.25099,2.64612,1.51375,0.00019698,0.00019698,0.00019698
12,6598.58,1.23794,2.43512,1.43115,0.3064,0.38431,0.31714,0.21381,1.2538,2.54369,1.49247,0.000187278,0.000187278,0.000187278
13,7143.9,1.23107,2.38441,1.42126,0.30929,0.36728,0.30755,0.2106,1.24593,2.56078,1.47846,0.000177576,0.000177576,0.000177576
14,7684.53,1.20896,2.33781,1.41635,0.32819,0.38913,0.31373,0.21265,1.25543,2.52568,1.48654,0.000167874,0.000167874,0.000167874
15,8228.38,1.20323,2.25869,1.40159,0.36804,0.34319,0.3292,0.22664,1.2397,2.50351,1.48328,0.000158172,0.000158172,0.000158172
16,8772.74,1.19998,2.20659,1.38978,0.31559,0.42456,0.34189,0.2362,1.21619,2.40013,1.44439,0.00014847,0.00014847,0.00014847
17,9313.8,1.20404,2.1848,1.40804,0.33053,0.44543,0.35768,0.24424,1.21724,2.37418,1.4551,0.000138768,0.000138768,0.000138768
18,9865.02,1.1715,2.14186,1.38327,0.37129,0.41736,0.36632,0.25137,1.21878,2.35406,1.47058,0.000129066,0.000129066,0.000129066
19,10412.5,1.17658,2.08778,1.38554,0.38608,0.43611,0.38049,0.26437,1.20185,2.2845,1.44175,0.000119364,0.000119364,0.000119364
20,10957.9,1.17129,2.06963,1.37446,0.36189,0.45082,0.38464,0.26894,1.20363,2.29345,1.44483,0.000109662,0.000109662,0.000109662
21,11489.7,1.13614,2.1284,1.38955,0.34872,0.44028,0.37487,0.26323,1.18948,2.32601,1.41661,9.996e-05,9.996e-05,9.996e-05
22,12020.4,1.11823,2.02687,1.36796,0.37402,0.43161,0.38252,0.26502,1.1877,2.28721,1.4208,9.0258e-05,9.0258e-05,9.0258e-05
23,12551.4,1.10905,1.99303,1.36026,0.40967,0.44137,0.40482,0.2811,1.20221,2.26293,1.43411,8.0556e-05,8.0556e-05,8.0556e-05
24,13078.6,1.10386,1.92057,1.34853,0.41055,0.45145,0.41988,0.29609,1.18051,2.22114,1.41996,7.0854e-05,7.0854e-05,7.0854e-05
25,13613.2,1.08164,1.89394,1.33847,0.40395,0.45712,0.41901,0.29573,1.17335,2.18084,1.4048,6.1152e-05,6.1152e-05,6.1152e-05
26,14144.7,1.08177,1.87552,1.34204,0.40478,0.44104,0.40934,0.28835,1.17219,2.22405,1.4136,5.145e-05,5.145e-05,5.145e-05
27,14671.5,1.07748,1.83802,1.3339,0.43254,0.42414,0.42513,0.30139,1.17378,2.17389,1.40583,4.1748e-05,4.1748e-05,4.1748e-05
28,15202.5,1.07388,1.77239,1.32079,0.4644,0.41576,0.42262,0.30019,1.17531,2.17661,1.40212,3.2046e-05,3.2046e-05,3.2046e-05
29,15732.4,1.08534,1.75738,1.32744,0.39048,0.48288,0.43377,0.30803,1.17041,2.14152,1.40303,2.2344e-05,2.2344e-05,2.2344e-05
30,16259.4,1.0724,1.7483,1.322,0.3805,0.49255,0.43259,0.30756,1.16658,2.14761,1.39843,1.2642e-05,1.2642e-05,1.2642e-05
